lahmanID,FirstName,LastName,RetrosheetID,batAve2000Sorted,PA
sandean01,Anthony,Sanders,sanda001,1.0,1.0
nadyxa01,Xavier,Nady,nadyx001,1.0,1.0
linebsc01,Scott,Linebrink,lines001,1.0,1.0
tucketj01,T. J.,Tucker,tuckt001,1.0,1.0
ramirhe01,Hector,Ramirez,ramih001,1.0,1.0
bruneju01,Justin,Brunette,brunj001,1.0,1.0
cammaer01,Eric,Cammack,camme001,1.0,1.0
juddmi01,Mike,Judd,juddm001,1.0,2.0
yanes01,Esteban,Yan,yan-e001,1.0,2.0
olivaom01,Omar,Olivares,olivo001,1.0,1.0
padilvi01,Vicente,Padilla,padiv001,1.0,1.0
stantmi02,Mike,Stanton,stanm003,1.0,1.0
leshebr01,Brian,Lesher,leshb001,0.8,6.0
mantoje01,Jeff,Manto,mantj001,0.8,7.0
nortoph01,Phil,Norton,nortp001,0.667,4.0
garcifr02,Freddy,Garcia,garcf002,0.667,6.0
powelje01,Jeremy,Powell,powej002,0.6,5.0
wootesh01,Shawn,Wooten,woots001,0.556,9.0
bergmse01,Sean,Bergman,bergs001,0.5,2.0
mahayro01,Ron,Mahay,mahar001,0.5,4.0
deltomi01,Miguel,Del Toro,deltm001,0.5,2.0
jonesbo04,Bobby,Jones,joneb004,0.5,4.0
johnske04,Keith,Johnson,johnk002,0.5,7.0
speieju01,Justin,Speier,speij001,0.5,2.0
rogerke01,Kenny,Rogers,rogek001,0.5,5.0
benesal01,Alan,Benes,benea002,0.5,4.0
jimenjo01,Jose,Jimenez,jimej001,0.5,5.0
schoupe01,Pete,Schourek,schop001,0.5,4.0
graveda01,Danny,Graves,gravd001,0.5,3.0
heredgi01,Gil,Heredia,hereg001,0.5,3.0
oconnbr01,Brian,O'Connor,oconb001,0.5,2.0
grillja01,Jason,Grilli,grilj001,0.5,2.0
natiojo01,Joey,Nation,natij001,0.5,4.0
halamjo01,John,Halama,halaj001,0.5,3.0
minorda01,Damon,Minor,minod001,0.444,11.0
mcdonjo03,John,McDonald,mcdoj003,0.444,9.0
lowerte01,Terrell,Lowery,lowet001,0.441,42.0
morgami01,Mike,Morgan,morgm001,0.438,17.0
mcdonke01,Keith,McDonald,mcdok001,0.429,9.0
tocajo01,Jorge,Toca,tocaj001,0.429,7.0
mientdo01,Doug,Mientkiewicz,miend001,0.429,15.0
charlfr01,Frank,Charles,charf001,0.429,7.0
maysjo01,Joe,Mays,maysj001,0.4,6.0
abbotpa01,Paul,Abbott,abbop001,0.4,6.0
ericksc01,Scott,Erickson,erics001,0.4,5.0
disarga01,Gary,Disarcina,disag001,0.395,42.0
